,Text,Author,Created at,Retweet count,Favorite count,Location,Follower count
0,"RT @DIEBO37: Tesla Shows Off Its Brand New AI-Training Supercomputer
#Tesla #AI #ArtificialIntelligence #SuperComputer #𝒟𝒾𝑒𝒷𝒪37 
https://t.…",37DIEBO,2021-06-23 01:17:42,35,0,Boston ,349
1,RT @ByeonChansoo: What #Tesla Model S Plaid does to a person $TSLA,HanChulYong,2021-06-23 01:16:15,1,0,Republic of Korea in Gimhae,319
2,Pawn Stars: Rick BLOWN AWAY by Nikola #TESLA POEM https://t.co/RYSkYKAMEP,rebjorn,2021-06-23 01:15:54,0,0,Norway,871
3,"RT @ClaireMusk: 🚨 Korean Backlash Against #Tesla's Design Defects: 
If S. Korea requires that car doors must be able to be opened in case o…",jme_rbt,2021-06-23 01:14:28,16,0,,247
4,RT @CryptoJebb: New infinite money glitch discovered- #Tesla buys $1.5 BILLION worth of Bitcoin!!!!!!!!!!!,cryptojebb__,2021-06-23 01:13:19,9,0,,11434
5,"@ChefGruel People don't want to work, but receive a $2k government universal income check and it's a… https://t.co/ESHB8ZeMTQ",Razizpod,2021-06-23 01:10:37,0,0,The Internet ,232
6,"RT @pauljamil: Just took delivery of the first Model S Plaid in Virginia. I’ve owned lambos, ferraris, and mclarens, and I’ve NEVER felt an…",Nicolehq1s3,2021-06-23 01:09:06,507,0,,0
7,"RT @socialnowpr: $CLSH Achieves Monumental https://t.co/k4QKL3vs4O 
#LasVagas #cannabis #marijuana #CBD #wsj #nytimes #business #reuters #I…",AppleRetweetBot,2021-06-23 01:07:53,1,0,,374
8,"RT @BenevidesBianka: 🚨 COUNTDOWN: 4 DAYS TO #DUCKDAY 🚨

I'm accumulating #lunes, what about you? ⌛

#lunes #btc #eth #crypto #doge #tesla #…",RAhogbo,2021-06-23 01:06:50,37,0,,8
9,"RT @pauljamil: Just took delivery of the first Model S Plaid in Virginia. I’ve owned lambos, ferraris, and mclarens, and I’ve NEVER felt an…",Linda0yg,2021-06-23 01:05:43,507,0,,0
10,"InsideEVs : Watch How Quick The #Tesla #ModelSPlaid S Plaid Truly Is.
https://t.co/9DSKnmEwQF

via @GoogleNews",jjvors,2021-06-23 01:04:46,0,0,Peoria IL,6148
11,"RT @CumBlastBsc: Time For Cumblasting Is Approaching!!!💦💦💦
One Lucky Cumblaster will be selected for the @Tesla #giveaway on June 23 at 5 p…",RameezAhamed19,2021-06-23 01:04:12,12,0,,11
12,"$CLSH Achieves Monumental https://t.co/k4QKL3vs4O 
#LasVagas #cannabis #marijuana #CBD #wsj #nytimes #business… https://t.co/JrjzWMZGhP",socialnowpr,2021-06-23 01:04:01,1,1,USA,993
13,Fuck #Tesla buy #Bitcoin,lifeonchain,2021-06-23 01:03:44,0,0,"Los Angeles, CA",3
14,"#dogecoin price one year ago today 

$.0025 / $100.00 US = 40000 doge   June 22/2020 

$.19   /   $100.00 US = 526… https://t.co/ceeMJv0IHd",Comm3ntT,2021-06-23 01:01:59,0,1,Moon,9
15,"Currently, 1 $DOGE = $0.192360.

At this rate, a #Tesla #Cybertruck costs:
• Single Motor RWD: 207,424 Ɖ
• Dual Mot… https://t.co/f1x9XT6zxC",dogecoin4tesla,2021-06-23 01:01:45,0,1,The Moon,867
16,"RT @doubleHHedgeDD: #Jerome #Powell Reverse Repo $791.6BN, up from $765BN. Fast approaching $1 trillion #fed doesn’t realize their ENTIRE B…",alexcoghlan23,2021-06-23 00:59:17,1,0,,413
17,😂😂😂 the best thing I’ve seen all day! #Tesla @elonmusk #plaid $TSLA https://t.co/DeFDfutvol,Bbyonic_,2021-06-23 00:58:59,0,0,Canada,41
18,"Tesla - Better, Faster, Stronger https://t.co/5Y8bxZ5hNZ via @YouTube Swedish Jimmy produced this pretty cool Faux… https://t.co/xEFiVF7NR3",peter_helander,2021-06-23 00:57:57,0,0,,3
19,"InsideEVs : #Tesla #ModelSPlaid S Plaid Fast Charging Results Amaze: Analysis.
https://t.co/d5xI6ZlWEl

via @GoogleNews",jjvors,2021-06-23 00:56:33,0,0,Peoria IL,6148
20,"RT @CarbideBurr: We appreciate what everything SpaceX has done for space exploration

#spacex #nasa #space #elonmusk #science #astronomy #m…",godfrey_G_,2021-06-23 00:56:32,1,0,"Johannesburg, South Africa",2425
21,"RT @muhammetmubare3: @elonmusk  Elon is very patient and that's why he has always been a winner, whether it's Tesla or Spacex, he has alway…",godfrey_G_,2021-06-23 00:56:24,2,0,"Johannesburg, South Africa",2425
22,"Day 245 of posting dogs in sweaters until @MrBeastYT gives me a @Tesla

#mrbeast #Tesla #sweaterdogsfortesla #dogs… https://t.co/fb03SH6FNW",dogsfor_tesla,2021-06-23 00:56:02,0,2,,4
23,"RT @skyfatih1: So cute 😂
#Elonmusk #Tesla #SpaceX https://t.co/qBlwwDgZUE",godfrey_G_,2021-06-23 00:55:36,1,0,"Johannesburg, South Africa",2425
24,Welcome home 🥴 @WholeMarsBlog @elonmusk @GerberKawasaki @SawyerMerritt #model3 #tesla $tsla https://t.co/VlDG2h3Ign,windyCityJump23,2021-06-23 00:53:48,0,2,,37
25,@elonmusk @Teslarati @TeslaMotorsClub @Tesla 2017 Model S 100D battery failure from this “damage”.   PLASTIC piece… https://t.co/59R6bpNVce,BurgersCustard,2021-06-23 00:51:46,0,0,,20
26,Day 1 of bothering @elonmusk  Inot getting me a #Tesla 🙏🏼🙏🏼,kingdededee9,2021-06-23 00:50:49,0,0,"Virginia Beach, VA",6
27,@100eyesCrypto Looks like #tesla,_AriesFinancial,2021-06-23 00:48:26,0,0,Singapore,3129
28,"RT @CryptoJebb: Bubble. #Tesla. Love the car, Love the man, HUGELY overvalued. https://t.co/llMWI08ofq",cryptojebb__,2021-06-23 00:47:44,3,0,,11434
29,@OTC_Bitcoin That look another #Tesla,rrop098,2021-06-23 00:46:37,0,0,"Jeju-do, Republic of Korea",4
